aba,origem,panel_name,schema_tabelas,schema_tabelas_secundarias,status,tabelas,tabelas_secundarias,workspace
silver_power_bi_credito,#N/A,Longo Prazo Visão Produto,donus_kitchen,null,false,mova_cotacao,null,Credit
silver_power_bi_credito,Nãoacheionotebook,Curto Prazo,donus_kitchen_credit,donus_serving,false,visao_cp_atual,dataset_ambev_invoices,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_operations,false,visao_cp_atual,ambev_setores_censitarios_estrato_social_renda,Credit
silver_power_bi_credito,Nãoacheionotebook,Curto Prazo,donus_kitchen_credit,donus_serving,false,cp_total,dataset_ambev_invoices,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_operations,false,cp_total,ambev_setores_censitarios_estrato_social_renda,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,clientes_inadimplentes,cp_total,Credit
silver_power_bi_credito,Nãoacheionotebook,Curto Prazo,donus_kitchen_credit,donus_serving,false,tabela_thomas,dataset_ambev_invoices,Credit
silver_power_bi_credito,Bifrost(KafkaBeesBankqueextraidoPromax),Curto Prazo,donus_kitchen_credit,donus_kitchen,false,elegibilidade,beesbank_ambev_invoice,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,carteira_ativa_historica_cp_contrato,cp_total,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,carteira_ativa_historica_cp,cp_total,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,carteira_ativa_historica_cp_diaria,cp_total,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,lgd_cp,carteira_ativa_historica_cp_contrato,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,rolagem_cp,visao_cp_atual,Credit
silver_power_bi_credito,#N/A,Curto Prazo,donus_kitchen_credit,donus_kitchen_credit,false,saldo_cp,carteira_ativa_historica_cp_contrato,Credit
silver_power_bi_credito,Nãoacheionotebook,CP - Visão Produtos,donus_kitchen_credit,donus_serving,false,kpi_produtos,dataset_ambev_invoices,Credit
silver_power_bi_credito,#N/A,CP - Visão Produtos,donus_kitchen_credit,donus_kitchen,false,kpi_produtos,de_para_perfil_nge,Credit
silver_power_bi_credito,#N/A,CP - Visão Produtos,donus_kitchen_credit,donus_kitchen_credit,false,nps_credito,cp_total,Credit
silver_power_bi_credito,#N/A,CP - Visão Produtos,donus_kitchen_credit,donus_kitchen_cx,false,nps_credito,nps_cluster,Credit
