createdAt,description,format,id,lastModified,location,minReaderVersion,minWriterVersion,name,numFiles,sizeInBytes
2022-11-30T11:37:16.789Z,,delta,5e7bb86a-0559-478f-af65-72e957297a51,2023-01-08T15:38:09.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/celula_de_ativacao_action,1,2,donus_kitchen_data.celula_de_ativacao_action,1,6833
2022-11-30T11:30:44.956Z,,delta,57cb5b35-2be1-4964-ae61-1a5cffaf8c08,2023-01-08T15:38:14.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/celula_de_ativacao_alma,1,2,donus_kitchen_data.celula_de_ativacao_alma,1,5063
2022-11-25T12:58:53.159Z,,delta,23321e8e-713b-4450-b615-3524a159c6ef,2022-11-25T12:59:05.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_90,1,2,donus_kitchen_data.churn_maior_90,1,1099409
2022-10-12T15:34:26.031Z,,delta,0ab6dec5-033e-4fea-9185-c2af84994c2b,2022-10-12T15:34:31.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_nov_controle,1,2,donus_kitchen_data.churn_maior_nov_controle,1,164126
2022-11-25T16:10:37.474Z,,delta,62c4882e-6c90-4ce4-aadb-4ddd2ef6b8c8,2022-11-25T16:10:40.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_nov_controle_dezembro,1,2,donus_kitchen_data.churn_maior_nov_controle_dezembro,1,76282
2022-10-31T18:49:32.231Z,,delta,afbc9322-dc70-454d-8f50-7d4cb5a8cb7c,2022-10-31T18:49:35.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_nov_controle_novembro,1,2,donus_kitchen_data.churn_maior_nov_controle_novembro,1,57267
2022-10-12T15:34:04.632Z,,delta,06b53ff7-a175-433d-915c-6fcadf59e1af,2022-10-12T15:34:15.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_nov_teste,1,2,donus_kitchen_data.churn_maior_nov_teste,1,1352819
2022-11-25T16:09:25.992Z,,delta,5eec0108-8c9d-4071-921e-61bfa0a0d3e8,2022-11-25T16:09:29.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_nov_teste_dezembro,1,2,donus_kitchen_data.churn_maior_nov_teste_dezembro,1,1403026
2022-10-31T18:49:21.552Z,,delta,81d3b27e-ecef-4c6c-8ccd-20a152615662,2022-10-31T18:49:27.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_maior_nov_teste_novembro,1,2,donus_kitchen_data.churn_maior_nov_teste_novembro,1,1290821
2022-11-25T12:58:33.497Z,,delta,fb41e850-e6e6-48f7-ab8e-2944389967b0,2022-11-25T12:58:45.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_90,1,2,donus_kitchen_data.churn_menor_90,1,242629
2022-10-12T15:33:32.585Z,,delta,dfab82de-94c6-43f0-be45-9e2b57437d27,2022-10-12T15:33:44.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_nov_controle,1,2,donus_kitchen_data.churn_menor_nov_controle,1,65346
2022-11-25T16:04:13.249Z,,delta,3de8fc8b-6cec-4f6d-b3f3-b8dc1f072032,2022-11-25T16:04:43.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_nov_controle_dezembro,1,2,donus_kitchen_data.churn_menor_nov_controle_dezembro,1,16268
2022-10-31T18:52:31.986Z,,delta,c903c51b-0778-4f81-8eda-c7954395f5ef,2022-10-31T18:52:35.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_nov_controle_novembro,1,2,donus_kitchen_data.churn_menor_nov_controle_novembro,1,21611
2022-10-12T15:23:25.555Z,,delta,a7956fa8-9e3b-4c1b-86ab-27a154ab5736,2022-10-12T15:23:31.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_nov_teste,1,2,donus_kitchen_data.churn_menor_nov_teste,1,305314
2022-11-25T16:03:27.607Z,,delta,48152381-beea-4d8d-9694-a1d29d757e76,2022-11-25T16:03:43.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_nov_teste_dezembro,1,2,donus_kitchen_data.churn_menor_nov_teste_dezembro,1,121871
2022-10-31T18:52:24.614Z,,delta,ea552ade-d7e0-403e-82db-52e0cbabe708,2022-10-31T18:52:27.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_menor_nov_teste_novembro,1,2,donus_kitchen_data.churn_menor_nov_teste_novembro,1,201871
2022-03-03T15:39:59.325Z,,delta,8fbd2228-d617-4a52-ba66-96421e7ace73,2023-01-08T15:38:20.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_pos_probabilities_february,1,2,donus_kitchen_data.churn_pos_probabilities_february,1,966698
2022-03-07T14:34:42.775Z,,delta,c0679e3d-89ad-4eae-bb2e-01b2117bfefd,2023-01-08T15:38:24.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_pos_probabilities_march,1,2,donus_kitchen_data.churn_pos_probabilities_march,1,531183
2022-02-01T00:05:25.593Z,,delta,cbaea441-1d09-4060-ad45-4c3e795e7b73,2023-01-08T15:38:28.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_pos_probabilities_november,1,2,donus_kitchen_data.churn_pos_probabilities_november,1,519143
2022-03-25T13:39:02.197Z,,delta,d26832ee-5bf5-4bef-bf83-6584d44cab24,2023-01-08T15:38:34.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churn_pos_probabilities_v0,1,2,donus_kitchen_data.churn_pos_probabilities_v0,1,989000
2021-10-05T21:58:25.117Z,,delta,89d52cfd-ad3c-4898-8454-1d626586e28e,2023-01-08T15:38:37.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/churned_t_agosto,1,2,donus_kitchen_data.churned_t_agosto,1,27674
2021-05-03T21:18:31.468Z,,delta,6f36bf0f-2b99-4e7f-bbf5-7c1382399097,2023-01-08T15:38:41.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/cielo_cancelados,1,2,donus_kitchen_data.cielo_cancelados,1,32817
2022-08-15T17:21:51.711Z,,delta,e2e82a25-029b-444e-8439-365cf9d637f5,2023-01-08T15:38:47.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/classifica_ttv,1,2,donus_kitchen_data.classifica_ttv,1,38735323
2022-10-11T23:45:10.038Z,,delta,900ded8b-b52d-48f6-a359-fac852cc8055,2022-10-11T23:45:32.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/cliente_mes_passado_controle,1,2,donus_kitchen_data.cliente_mes_passado_controle,1,170014
2022-10-11T23:44:49.195Z,,delta,d7d933e4-b782-48fd-933d-c38e9f5f1dda,2022-10-11T23:45:05.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/cliente_mes_passado_teste,1,2,donus_kitchen_data.cliente_mes_passado_teste,1,634386
2021-01-28T22:33:45.258Z,,delta,c0765011-c26c-4161-9c61-01f343f6525d,2023-01-08T15:38:50.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais,1,2,donus_kitchen_data.clientemais,1,102322356
2022-04-06T20:23:29.012Z,,delta,e7aff6fb-bf1e-4f66-92c5-185687e61a0d,2023-01-08T15:38:55.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_2022_04,1,2,donus_kitchen_data.clientemais_2022_04,1,160581072
2022-07-05T20:57:09.592Z,,delta,492e35cd-6f74-41e1-8ffb-c815ca7428ee,2023-01-08T15:39:01.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_credito,1,2,donus_kitchen_data.clientemais_credito,1,182217965
2021-02-02T13:57:17.513Z,,delta,2ac2d433-021a-4a57-b4cc-08c6d32c752c,2023-01-08T15:39:06.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_jan,1,2,donus_kitchen_data.clientemais_jan,1,111884549
2021-05-09T22:45:54.183Z,,delta,addc5561-147f-415c-9100-4b76568e6836,2023-01-08T15:39:12.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_maio,1,2,donus_kitchen_data.clientemais_maio,1,36020316
2021-03-17T12:50:41.642Z,,delta,8b9cc609-11b5-474c-a9d9-757fa9489f24,2023-01-08T15:39:17.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_mar1,1,2,donus_kitchen_data.clientemais_mar1,1,70169866
2021-03-17T12:51:44.135Z,,delta,593c931c-3372-4367-b1e1-990aa94d06bb,2023-01-08T15:39:24.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_mar2,1,2,donus_kitchen_data.clientemais_mar2,1,24159133
2021-03-17T12:52:22.907Z,,delta,cd93c76c-6bde-4de8-b00e-9b587aac1085,2023-01-08T15:39:28.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_data/clientemais_mar3,1,2,donus_kitchen_data.clientemais_mar3,1,23873110
2022-08-18T18:50:57.762Z,,delta,e6545e0b-87e5-4f8c-867a-f693505a1b86,2023-01-08T15:41:54.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_carteira_lp_due_value_new,1,2,donus_kitchen_credit.fidc_carteira_lp_due_value_new,1,2482535
2023-01-08T11:06:44.694Z,,delta,65af57d1-d8c7-4077-8891-e9eb51487432,2023-01-08T11:06:47.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_carteira_lp_resumo,1,2,donus_kitchen_credit.fidc_carteira_lp_resumo,1,33097
2023-01-09T11:26:38.617Z,,delta,3d9a26e4-be8f-4b0a-b415-506118b80173,2023-01-09T11:27:00.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_contracts_overdue_month,1,2,donus_kitchen_credit.fidc_lp_contracts_overdue_month,1,24582
2023-01-09T11:34:56.935Z,,delta,d68a5937-c1d5-415a-a36e-3d1f5f9ee543,2023-01-09T11:35:02.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_lgd,1,2,donus_kitchen_credit.fidc_lp_lgd,1,4950
2023-01-09T11:33:29.137Z,,delta,9f0e413b-124f-496d-bb7b-cb7f263d2ea2,2023-01-09T11:33:34.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_lgd_first_month,1,2,donus_kitchen_credit.fidc_lp_lgd_first_month,1,6317
2023-01-09T11:33:54.459Z,,delta,328ab319-4b64-4651-bb7b-e58215c7f47d,2023-01-09T11:34:00.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_lgd_first_month_aggregate,1,2,donus_kitchen_credit.fidc_lp_lgd_first_month_aggregate,1,1016
2023-01-09T11:34:17.189Z,,delta,7f799d9e-9ae1-4e3b-9311-aca89588e41e,2023-01-09T11:34:29.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_lgd_first_month_contract,1,2,donus_kitchen_credit.fidc_lp_lgd_first_month_contract,1,25153
2023-01-09T11:34:40.546Z,,delta,6d944e1b-3d93-403c-bd60-02205759d323,2023-01-09T11:34:43.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_lgd_first_month_contract_fixed,1,2,donus_kitchen_credit.fidc_lp_lgd_first_month_contract_fixed,1,26769
2022-08-15T19:48:11.717Z,,delta,1fc2753d-9271-4e5a-9857-8f943cd7cc66,2023-01-08T15:42:44.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_overdue_mes,1,2,donus_kitchen_credit.fidc_lp_overdue_mes,1,2528
2022-08-15T19:46:19.568Z,,delta,cd99fa1c-b0e4-4738-a502-8e738014eb0f,2023-01-08T15:42:49.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_overdue_mob3,1,2,donus_kitchen_credit.fidc_lp_overdue_mob3,1,1211
2023-01-09T11:25:22.737Z,,delta,dc9c760d-497e-46f4-9251-b5961b88c88b,2023-01-09T11:25:36.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_parcela_data_inadimplencia,1,2,donus_kitchen_credit.fidc_lp_parcela_data_inadimplencia,1,57069
2023-01-09T11:25:49.483Z,,delta,eb273932-78e1-4082-a86b-f7c006873c4c,2023-01-09T11:26:05.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_parcela_with_reneg_date,1,2,donus_kitchen_credit.fidc_lp_parcela_with_reneg_date,1,1020954
2023-01-09T11:35:18.391Z,,delta,f02ea27a-ab24-4997-9012-3b1a07d73122,2023-01-09T11:35:26.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_recuperacao,1,2,donus_kitchen_credit.fidc_lp_recuperacao,1,105008
2023-01-09T11:33:02.559Z,,delta,ba44df40-4a93-456c-b57f-1530f1943f84,2023-01-09T11:33:13.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_rolagem,1,2,donus_kitchen_credit.fidc_lp_rolagem,1,7778
2022-08-11T15:10:34.255Z,,delta,fb4ef419-c56e-4eb5-ba9e-0332929fcb15,2023-01-08T15:43:25.000Z,abfss://iguazu-datalake-kitchen@gblstorageiguazuprod001.dfs.core.windows.net/donus_kitchen_credit/fidc_lp_rolagem_aux_faixa_atraso_60_teste,1,2,donus_kitchen_credit.fidc_lp_rolagem_aux_faixa_atraso_60_teste,1,18557
